,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
30,0.395579,5504,7973.0,7624.0,7371.0,7224.0,7394.0,7339.0,44044.0,2003-11-07,-90.398,28.1745,Point_2,1_LT05_022040_20031105
31,1.335579,5504,7805.0,7670.0,7394.0,7306.0,7247.0,7496.0,44241.0,2003-11-07,-90.4271,28.5358,Point_3,2_LT05_022040_20031105
32,0.8194658,5504,8012.0,8067.0,7235.0,7301.0,7367.0,7324.0,44049.0,2003-11-07,-90.4466,28.7882,Point_4,3_LT05_022040_20031105
33,0.21,5504,8355.0,8225.0,7970.0,7720.0,7483.0,7215.0,42919.0,2004-04-04,-91.0563,28.7756,Point_1,0_LT05_023040_20040404
34,3.7,5504,8428.0,8505.0,7970.0,7720.0,7483.0,7469.0,42913.0,2004-04-04,-91.252,28.8565,Point_2,1_LT05_023040_20040404
35,1.84,5504,8357.0,8366.0,7971.0,7721.0,7484.0,7341.0,42928.0,2004-04-05,-91.2517,28.6558,Point_1,0_LT05_023040_20040404
36,1.5,5504,8419.0,8359.0,7962.0,7847.0,7391.0,7468.0,42912.0,2004-04-05,-91.438,28.8485,Point_2,1_LT05_023040_20040404
37,1.84,5504,8206.0,8212.0,7843.0,7707.0,7388.0,7339.0,42908.0,2004-04-05,-91.6186,28.8839,Point_3,2_LT05_023040_20040404
38,1.09,5504,8675.0,8481.0,7944.0,7832.0,7384.0,7466.0,43220.0,2004-04-05,-91.6199,29.051,Point_4,3_LT05_023040_20040404
39,3.62,5504,10065.0,9882.0,9526.0,9278.0,8333.0,8518.0,36572.0,2004-04-06,-89.7536,29.1344,Point_2,1_LT05_021040_20040406
40,0.34,5504,10351.0,9984.0,9486.0,9311.0,8534.0,8144.0,38515.0,2005-03-23,-89.7324,28.4562,Point_1,0_LT05_021040_20050324
41,12.7,5504,9553.0,9575.0,8927.0,8505.0,7983.0,8014.0,39740.0,2005-03-23,-89.75,28.7489,Point_2,1_LT05_021040_20050324
42,3.03,5504,10494.0,10967.0,10395.0,8639.0,7982.0,8013.0,38689.0,2005-03-22,-89.4062,28.9391,Point_1,0_LT05_021040_20050324
43,6.6,5504,9954.0,10549.0,9830.0,8233.0,7521.0,7620.0,39737.0,2005-03-22,-89.4698,28.8741,Point_3,2_LT05_021040_20050324
44,6.57,5504,10089.0,10828.0,10282.0,8503.0,7889.0,7752.0,39045.0,2005-03-22,-89.4603,28.8836,Point_4,3_LT05_021040_20050324
45,8.81,7442,10653.0,10566.0,10182.0,9594.0,8726.0,8280.0,37015.0,2005-03-22,-89.7449,29.0056,Point_5,4_LT05_021040_20050324
46,1.92,5504,9962.0,9856.0,9381.0,9046.0,8353.0,8146.0,38702.0,2005-03-24,-89.9498,28.5624,Point_3,2_LT05_021040_20050324
47,9.97,5504,9083.0,9019.0,8590.0,8101.0,7892.0,7621.0,40579.0,2005-03-24,-89.9344,28.767,Point_4,3_LT05_021040_20050324
48,0.42,5504,9619.0,9600.0,9411.0,9130.0,8777.0,8508.0,39316.0,2005-03-29,-93.0832,29.118,Point_4,3_LT05_024040_20050329
